"country","mpw_oceans_2021","mpw_2021","pWaste2016","pWastePercap2016","pWaste2010"
"Laos","","","22232","3.2500",""
"Serbia","","","295230","41.8300",""
"Paraguay","","","214189","31.6000",""
"Kyrgyzstan","","","126059","20.7400",""
"Turkmenistan","","","12400","2.1900",""
"Central African Republic","","","83041","18.3000",""
"Mongolia","","","420500","137.5800",""
"Moldova","","","462287","130.1500",""
"Armenia","","","57174","19.4700",""
"Botswana","","","24741","11.4500",""
"North Macedonia","","","110725","53.2100",""
"Eswatini","","","21384","19.2000",""
"Bhutan","","","19844","26.9400",""
"Luxembourg","","","64974","111.6400",""
"Vanuatu","","","4530","16.2700","25443"
"French Polynesia","","","2792","10.1700","24634"
"New Caledonia","","","17504","63.2900","22995"
"Curacao","","","3973","24.8900","13678"
"Guam","","","16684","102.3900","14666"
"Aruba","","","13899","132.5300","9352"
"Isle of Man","","","6918","83.0700",""
"Andorra","","","4926","63.7300",""
"Cayman Islands","","","8376","133.8600","5106"
"Bermuda","","","13294","205.9300","5990"
"Greenland","","","1286","22.9000","5234"
"Faroe Islands","","","8071","167.5300","4466"
"Northern Mariana Islands","","","5102","90.8000","5006"
"Turks and Caicos Islands","","","","","2851"
"American Samoa","","","2431","43.6100",""
"Liechtenstein","","","1916","50.8900",""
"San Marino","","","962","28.7100",""
"Gibraltar","","","2975","88.2000","3053"
"British Virgin Islands","","","2643","90.0500","2504"
"Nauru","","","888","68.0800","527"
"Tuvalu","","","658","58.6400","554"
